ID,SMILES
RS-0481,CC(NC(=O)C1CSCN1C(=O)c1ccccc1)c1ccccc1
oleuropein,COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)\C(=C/C)C1CC(=O)OCCc1ccc(O)c(O)c1
isoleucine,CCC(C)C(N)C(O)=O
gepefrine,CC(N)Cc1cccc(O)c1
cloranolol,CC(C)(C)NCC(O)COc1cc(Cl)ccc1Cl
broxaterol,CC(C)(C)NCC(O)c1cc(Br)no1
SQ-109,CC(C)=CCC\C(C)=C\CNCCNC1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2
prolylleucylglycinamide,CC(C)CC(NC(=O)C1CCCN1)C(=O)NCC(N)=O
dexamethasone,C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
glycerol-monolaurate,CCCCCCCCCCCC(=O)OCC(O)CO
mabuterol,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(c1)C(F)(F)F
peficitinib,NC(=O)c1cnc2[nH]ccc2c1N[C@H]1[C@H]2C[C@H]3C[C@@H]1C[C@](O)(C3)C2
clofedanol,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl
polythiazide,CN1C(CSCC(F)(F)F)Nc2cc(Cl)c(cc2S1(=O)=O)S(N)(=O)=O
misonidazole,COCC(O)Cn1ccnc1[N+]([O-])=O
isavuconazole,C[C@@H](c1nc(cs1)-c1ccc(cc1)C#N)C(O)(Cn1cncn1)c1cc(F)ccc1F
lercanidipine,COC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC(C)(C)CN(C)CCC(c1ccccc1)c1ccccc1
clorotepine,CN1CCN(CC1)C1Cc2ccccc2Sc2ccc(Cl)cc12
menadione-bisulfite,CC1(CC(=O)c2ccccc2C1=O)S(O)(=O)=O
nifenalol,CC(C)NCC(O)c1ccc(cc1)[N+]([O-])=O
xibenolol,Cc1cccc(OCC(O)CNC(C)(C)C)c1C
methoxyphenamine,CNC(C)Cc1ccccc1OC
pipecuronium,CC(=O)OC1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](OC(C)=O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N1CC[N+](C)(C)CC1)N1CC[N+](C)(C)CC1
PF-06463922,CC1Oc2cc(cnc2N)-c2c(CN(C)C(=O)c3ccc(F)cc13)nn(C)c2C#N
floctafenine,OCC(O)COC(=O)c1ccccc1Nc1ccnc2c(cccc12)C(F)(F)F
N-acetyl-tyrosine,CC(=O)NC(Cc1ccc(O)cc1)C(O)=O
chlortetracycline,CN(C)[C@H]1[C@@H]2C[C@H]3C(C(=O)c4c(O)ccc(Cl)c4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)C(C(N)=O)C1=O
butofilolol,CCCC(=O)c1cc(F)ccc1OCC(O)CNC(C)(C)C
efinaconazole,C[C@@H](N1CCC(=C)CC1)C(O)(Cn1cncn1)c1ccc(F)cc1F
